uri,hydrosource_id,eha_ptid,fcdocket,hilarriid,nididfull,nidid,dam_name,longitude,latitude,state,state_uri,huc,huc_uri,Pt_Own,OwType,Type,CH_MW,status,HILARRI_2021,EHA_FY2021,EHA_Annual_Capacity,EHA_Annual_CapacityFactor,EHA_Annual_Gross_Generation,ORNL_Retired_FY2020_revised,ORNL_US_Hydropower_DevelopmentPipeline_Data_FY2021,ORNL_CostofMitigatingEnvironmentalImpacts_FY2021,ORNL_Mitigation_Database,EHA_Annual_Net_Generation
https://geoconnex.us/ornl/hydrosource/dams/1889,1889,hc7091_p01,P-4658,2730,,,,-123.127701,39.361602,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Eugene McFadden,Private Non-utility,HY,0.562,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1890,1890,hc7092_p01,P-4714,2896,,,,-121.734557,40.435483,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Tompkins and Associates,Private Non-utility,HY,0.675,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1891,1891,hc7093_p01,P-4718,298,NH00547,NH00547,COCHECO FALLS,-70.8738,43.1964,NH,https://geoconnex.us/ref/states/33,10600030608,https://geoconnex.us/nhdplusv2/huc12/10600030608,Cocheco Falls Associates,Private Non-utility,HY,0.714,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1892,1892,hc7095_p01,P-4769,2328,,,,-114.824869,42.62023,ID,https://geoconnex.us/ref/states/16,1.70E+11,https://geoconnex.us/nhdplusv2/huc12/170000000000,Zions Credit Corporation,Private Non-utility,HY,0.38,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1893,1893,hc7096_p01,P-4794,2527,,,,-121.4987,40.7815,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Mr. And Mrs. Howard Lakey,Private Non-utility,HY,0.1,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1894,1894,hc7097_p01,P-4815,771,NC00480,NC00480,EURY,-79.909,35.2538,NC,https://geoconnex.us/ref/states/37,30401040402,https://geoconnex.us/nhdplusv2/huc12/30401040402,Catalyst Energy Development Corp,Private Non-utility,HY,0.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1895,1895,hc7098_p01,P-4826,2879,,,,-121.92,41.055,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Lofton Ranch,Private Non-utility,HY,0.27,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1896,1896,hc7099_p01,P-5000,1190,NY00308,NY00308,KAYUTA,-75.2077,43.4232,NY,https://geoconnex.us/ref/states/36,41501010302,https://geoconnex.us/nhdplusv2/huc12/41501010302,"AMPERSAND KAYUTA LAKE HYDRO, LLC",Private non-utility,HY,0.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1897,1897,hc7099_p01,P-5000,1192,NY00308,NY00308,KAYUTA,-75.2077,43.4232,NY,https://geoconnex.us/ref/states/36,41501010302,https://geoconnex.us/nhdplusv2/huc12/41501010302,"AMPERSAND KAYUTA LAKE HYDRO, LLC",Private non-utility,HY,0.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1898,1898,hc7104_p01,P-5066,2382,,,,-110.1487,43.4083,WY,https://geoconnex.us/ref/states/56,1.70E+11,https://geoconnex.us/nhdplusv2/huc12/170000000000,Kinky Creek Operating Company,Private Non-utility,HY,0.012,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1899,1899,hc7105_p01,P-5069,2429,,,,-122.216737,48.769159,WA,https://geoconnex.us/ref/states/53,1.71E+11,https://geoconnex.us/nhdplusv2/huc12/171000000000,KINGDOM ENERGY PRODUCTS,Private Non-utility,HY,0.447,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1900,1900,hc7106_p01,P-5128,2576,,,,-120.9592,37.073,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Central California Irrigation District,Publicly Owned Utility,HY,0.6,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1901,1901,hc7107_p01,P-5129,2577,,,,-120.9438,37.0562,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Central California Irrigation District,Publicly Owned Utility,HY,1,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1902,1902,hc7108_p01,P-5130,2865,,,,-121.4237,40.7583,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Snow Mountain Hydro LLC,Private Non-utility,HY,0.455,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1903,1903,hc7109_p01,P-5195,488,VT00239,VT00239,DOWNERS MILL,-72.4194,43.6455,VT,https://geoconnex.us/ref/states/50,10801060207,https://geoconnex.us/nhdplusv2/huc12/10801060207,"Simon Pearce (U.S.), Inc.",Private Non-utility,HY,0.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1904,1904,hc7110_p01,P-5218,2500,,,,-120.6665,35.327,CA,https://geoconnex.us/ref/states/6,1.81E+11,https://geoconnex.us/nhdplusv2/huc12/181000000000,City of San Luis Obispo,Publicly Owned Utility,HY,0.68,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1905,1905,hc7111_p01,P-5260,606,NY00004,NY00004,SALISBURY MILLS DAM,-74.11777778,41.43,NY,https://geoconnex.us/ref/states/36,20200080406,https://geoconnex.us/nhdplusv2/huc12/20200080406,Salisbury Hydro Associates,Private Non-utility,HY,0.76,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1906,1906,hc7112_p01,P-5261,497,VT00325,VT00325,NEWBURY,-72.0541,44.152,VT,https://geoconnex.us/ref/states/50,10801030602,https://geoconnex.us/nhdplusv2/huc12/10801030602,"Newbury Hydro Company, L.P.",Private Non-utility,HY,0.41,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1907,1907,hc7113_p01,P-5296,695,NY00796,NY00796,LOCK C-12,-73.4005,43.5574,NY,https://geoconnex.us/ref/states/36,41504010307,https://geoconnex.us/nhdplusv2/huc12/41504010307,"Champlain Spinners Power Company, Inc.",Private Non-utility,HY,0.628,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1908,1908,hc7114_p01,P-5306,2917,,,,-122.003893,40.681509,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Mega Renewables,Private Non-utility,HY,1,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1909,1909,hc7115_p01,P-5307,396,NH00069,NH00069,WOODSVILLE,-72.0366,44.1546,NH,https://geoconnex.us/ref/states/33,10801030506,https://geoconnex.us/nhdplusv2/huc12/10801030506,GREEN MOUNTAIN POWER CORP      (VT),Investor-Owned Utility,HY,0.36,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1910,1910,hc7116_p01,P-5308,1016,MI00524,MI00524,BEAVERTON,-84.4833,43.8833,MI,https://geoconnex.us/ref/states/26,40802010309,https://geoconnex.us/nhdplusv2/huc12/40802010309,"Beaverton, City of",Publicly Owned Utility,HY,0.5,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
